tweet_id,tweet_text,stance_target,stance_label,tweet_image
1311040857773166593,@RepsForBiden Watch this poll DISAPPEAR like magic once Trump overtakes Biden. https://t.co/rxcVxazUFM,Joe Biden,Against,images/1311040857773166593_0.jpg
1310950609982550016,"#Debates2020 what kind of new twisted Fckery will this debate bring forward. 

Two truly unqualified candidates debating to be our next president. One things clear these two don’t understand the state of the USA.  I’ll await the BUT Trump tweets I know are coming. https://t.co/29U3KLUrD1",Joe Biden,Against,images/1310950609982550016_0.jpg
1310981066967130114,Why does #JoeBiden need a break every 30 minutes during the #PresidentialDebate2020? How long will the breaks be? Will he be allowed a pillow &amp; blanket too? Did he consent to being checked for an ear piece yet? So many questions. https://t.co/wW6wv0Y8J4,Joe Biden,Against,images/1310981066967130114_0.jpg
1309829050505068545,"@Goss30Goss I’m voting for the woman who will deliver us from the status quo that hasn’t worked for decades, and who’s not in her late 70s! #Election2020 #vote #jonotjoe #NOTridinwithBiden #think #MAGA #Debates2020 @Jorgensen4POTUS https://t.co/JVwr0VSzWW",Joe Biden,Against,images/1309829050505068545_0.jpg
1311039314831134721,"@truth How much you wanna bet Grumpy Trumpy gets mad and stomps off the stage like a giant, orange man baby when @JoeBiden starts calling him out on his lies?!?
#Debates2020
#DebateTuesday 
#ICanHardlyWait https://t.co/dNZW8e114m",Joe Biden,Favor,images/1311039314831134721_0.jpg
1311110805350473729,#PresidentialDebate2020 tuned in! Follow me if you #VoteBlue Come on Biden !! https://t.co/DqGVKnQ2S9,Joe Biden,Favor,images/1311110805350473729_0.jpg
1311039553608671232,"Ready for the debate tonight!

#RidinWithBiden #BidenHarris2020 #PresidentialDebate2020 https://t.co/cAHs7ELGd9",Joe Biden,Favor,images/1311039553608671232_1.jpg
1310997543900209152,"How awesome is 
@JoeBiden
 with debates??? Well, his current opponent couldn't have described him better:

""I suspect Joe Biden could do well tonight. Don't be fooled by his gaffes. He is a seasoned and feisty debater."" - Donald Trump (2012) #Debates2020 https://t.co/OHkieRkzrf",Joe Biden,Favor,images/1310997543900209152_0.jpg
1311026272542261248,Here we have  @JoeBiden 15 minutes into the #debate 😂 #Debates2020 #DebateTuesday https://t.co/LMedvgH8uR,Joe Biden,Against,images/1311026272542261248_0.jpg
1310784615829966851,"Planned Parenthood president Alexis McGill Johnson tells #AxiosOnHBO that, if Biden wins, she’d push for the use of executive power to “undo the vast majority” of what Trump has done: “I think what we've seen is this administration use its executive power.” https://t.co/HxD04v8XwW",Joe Biden,Favor,images/1310784615829966851_0.jpg
1308965416094531584,"This is what people are voting for 
#DemocratsHateAmerica #2020Election  #BidenTheDope https://t.co/oBIUQXdmf3",Joe Biden,Against,images/1308965416094531584_0.jpg
1311025266748162049,Anyone else think that #Biden hope of becoming president will end tonight on the #DebateTuesday with #Trump? #Debates2020 https://t.co/Z4IoOwJ9lb,Joe Biden,Against,images/1311025266748162049_0.jpg
1310786279794249728,"Joe Biden is frail?  They're sticking with that bullsh*t? 

Well then... https://t.co/rept6mhTrp",Joe Biden,Favor,images/1310786279794249728_1.jpg
